symbol,volume_24h,listing_date,age_days,volume_formatted
BTC-USDT,14310120121.8,2019-09-01,2326,"$14,310,120,122"
ETH-USDT,11216241205.05,2019-11-01,2265,"$11,216,241,205"
SOL-USDT,4290223379.7214,2020-09-01,1960,"$4,290,223,380"
XRP-USDT,963830321.4123,2020-01-01,2204,"$963,830,321"
DASH-USDT,820095413.71,2020-02-01,2173,"$820,095,414"
ZEC-USDT,736772508.69,2020-02-01,2173,"$736,772,509"
XMR-USDT,666241310.11,2020-02-01,2173,"$666,241,310"
BNB-USDT,649281896.515,2020-02-01,2173,"$649,281,897"
DOGE-USDT,589457121.79006,2020-07-01,2022,"$589,457,122"
1000PEPE-USDT,386198867.6562719,2023-05-01,988,"$386,198,868"
SUI-USDT,323977202.58667,2023-05-01,988,"$323,977,203"
ADA-USDT,257839885.253,2020-01-01,2204,"$257,839,885"
BCH-USDT,250431688.66,2019-12-01,2235,"$250,431,689"
LTC-USDT,242143281.74,2020-01-01,2204,"$242,143,282"
LINK-USDT,181929589.189,2020-01-01,2204,"$181,929,589"
AVAX-USDT,160673655.793,2020-09-01,1960,"$160,673,656"
ZEN-USDT,146140676.544,2020-11-01,1899,"$146,140,677"
FIL-USDT,139316377.43,2020-10-01,1930,"$139,316,377"
NEAR-USDT,130323541.449,2020-10-01,1930,"$130,323,541"
AAVE-USDT,105354091.495,2020-10-01,1930,"$105,354,091"
DOT-USDT,102370283.836,2020-08-01,1991,"$102,370,284"
WIF-USDT,97600842.8499,2024-01-01,743,"$97,600,843"
1000BONK-USDT,90074523.287691,2023-11-01,804,"$90,074,523"
DUSK-USDT,82504262.34599,2022-01-01,1473,"$82,504,262"
WLD-USDT,81951906.4999,2023-07-01,927,"$81,951,906"
CHZ-USDT,73480997.0967,2021-01-01,1838,"$73,480,997"
UNI-USDT,72955612.302,2020-09-01,1960,"$72,955,612"
ICP-USDT,60403787.585,2022-09-01,1230,"$60,403,788"
ARB-USDT,57480089.17577,2023-03-01,1049,"$57,480,089"
1000SHIB-USDT,57147130.540992,2021-05-01,1718,"$57,147,131"
